"","id","obs","x","y","z","xa","ya","za","px","py","pz"
1,108,1,71.8,0.1,1.8,73.4,68.8,96.4,1.36239782,1.453488372,1.037344398
2,108,2,9.4,9.2,8.8,30,50.1,17.7,3.333333333,1.996007984,5.649717514
3,108,3,15.2,4.1,15.5,68.1,13.5,33.1,1.468428781,7.407407407,3.021148036
4,108,4,39.7,4.5,43.3,86.4,43.9,99.4,1.157407407,2.277904328,1.006036217
5,108,5,13.3,33.8,16,50.1,69.9,64.4,1.996007984,1.430615165,1.552795031
6,108,6,19.5,12.6,21.4,58.7,29.9,88,1.703577513,3.344481605,1.136363636
7,108,7,10.5,59.8,12.3,76.1,98,49.2,1.314060447,1.020408163,2.032520325
8,108,8,39.4,9,9.9,54.6,93.7,54.9,1.831501832,1.067235859,1.821493625
9,108,9,8.4,5.3,40.9,31.5,71.9,62.2,3.174603175,1.390820584,1.607717042
10,108,10,40.9,0,41.1,88.4,34.6,76.9,1.131221719,2.89017341,1.300390117
11,108,11,24.2,10.3,26.6,83.3,34.5,64.8,1.200480192,2.898550725,1.543209877
12,108,12,11.3,40.9,12.3,32.8,94.3,56.2,3.048780488,1.060445387,1.779359431
13,108,13,26.9,28.2,0.2,49.1,64.4,22.6,2.036659878,1.552795031,4.424778761
14,108,14,33.7,19.8,30.6,86.6,74.7,89.2,1.154734411,1.338688086,1.121076233
15,108,15,11.6,7.5,22.8,22,43.7,77,4.545454545,2.288329519,1.298701299
16,108,16,15.5,15.9,26.1,53.7,46.7,70.9,1.862197393,2.141327623,1.410437236
17,108,17,14.5,14.5,14.3,36,44.9,52.9,2.777777778,2.227171492,1.890359168
18,108,18,22.6,25.5,23,96.9,65.7,61.1,1.031991744,1.522070015,1.636661211
19,108,19,24.7,27.7,24.9,93.3,73.9,69.5,1.071811361,1.353179973,1.438848921
20,108,20,18.7,19.2,14.5,78.1,88.4,26.8,1.280409731,1.131221719,3.731343284
21,108,21,19.6,6.6,19.7,59.3,14.5,94.6,1.686340641,6.896551724,1.057082452
22,108,22,19.6,19,20.1,62.5,66.6,50.5,1.6,1.501501502,1.98019802
23,108,23,14.9,21.1,15,52.3,45,61.8,1.912045889,2.222222222,1.618122977
24,108,24,22.8,33.4,10.3,66.4,89.9,36.3,1.506024096,1.112347052,2.754820937
25,108,25,1.8,0.2,65.1,47.7,64.6,68,2.096436059,1.547987616,1.470588235
26,108,26,81.8,3.1,3.4,96,50.4,40.5,1.041666667,1.984126984,2.469135802
