t,ratio_max_min,L1_narrative,L1_afriat,top1_narrative,top1_afriat
26,1.597457988569479,4.069999999999994,4.770000000000005,1,0
27,2.733021674458138,13.740000000000002,10.04,1,1
28,2.32873425314937,28.710000000000004,28.229999999999997,1,1
29,1.5767848667706286,3.139999999999999,1.9800000000000024,1,1
30,5.704830178173719,6.75,125.28999999999999,1,0
31,2.2206035379812694,5.28,43.580000000000005,1,0
32,1.5629806213472779,3.2499999999999947,3.4700000000000024,0,0
33,1.5417151404354328,10.330000000000002,11.05,1,1
34,1.8184086251447917,16.400000000000002,5.519999999999998,1,1
35,2.3695310967235628,10.600000000000001,9.339999999999991,1,1
36,1.2048255770523641,18.020000000000003,18.8,0,0
37,2.023927008658412,0.43999999999999884,31.900000000000002,1,0
38,1.1160026560424967,5.73,7.050000000000002,0,0
39,3.9448410123296562,1.709999999999998,116.85000000000001,1,0
40,1.658372213582167,4.759999999999994,5.14,1,1
41,1.9387755102040818,0.509999999999998,3.1300000000000052,1,1
42,1.1617801547130169,1.0399999999999994,8.839999999999998,1,0
43,7.315124489037532,1.7600000000000007,180.22,1,0
44,2.393090485993019,1.0800000000000063,74.25999999999999,1,0
45,4.083642397032989,12.039999999999997,18.68,1,1
46,5.98817097415507,9.599999999999996,120.86,1,0
47,2.5596284741917184,3.2799999999999976,13.219999999999992,1,1
48,2.6388790664780766,2.400000000000001,10.34,1,1
49,2.2438165438165436,0.5600000000000012,0.7399999999999973,1,1
50,5.976047904191617,21.559999999999995,68.46000000000001,1,0
