subject,ok,price_ratio50,true_spend,af_min,af_max,af_width,dist_to_band,covered,nar_spend,nar_abs_err,nar_in_band,outside
108,1,4.60375009725356,11.57,86.92,97.06,10.14,75.35,0,9.05,2.5199999999999996,0,1
109,1,2.549231821857312,54.1,54.79,54.8,0.00999999999999801,0.6899999999999977,0,54.01,0.09000000000000341,0,1
110,1,6.503486202494353,33.77,0.0,0.07,0.07,33.7,0,57.69,23.919999999999995,0,1
111,1,1.8390916463909162,43.64,13.63,37.69,24.059999999999995,5.950000000000003,0,31.0,12.64,1,1
112,1,1.8930621776783108,18.72,13.87,31.89,18.020000000000003,0.0,1,38.92,20.200000000000003,0,0
117,1,2.0466015840854666,29.75,4.75,9.35,4.6,20.4,0,47.48,17.729999999999997,0,1
121,1,2.5793445878848065,3.64,1.66,6.9,5.24,0.0,1,50.57,46.93,0,0
124,1,1.080326107564937,34.7,19.51,19.51,0.0,15.190000000000001,0,33.56,1.1400000000000006,0,1
127,1,4.237998611630267,15.87,0.0,0.0,0.0,15.87,0,60.65,44.78,0,1
128,1,1.2291626000390397,34.52,9.74,15.9,6.16,18.620000000000005,0,47.48,12.959999999999994,0,1
129,1,7.968127490039841,76.8,0.0,0.81,0.81,75.99,0,77.17,0.37000000000000455,0,1
130,1,3.823414710241011,0.0,0.0,1.56,1.56,0.0,1,57.47,57.47,0,0
140,1,2.9273868942199326,53.09,0.0,0.05,0.05,53.040000000000006,0,51.46,1.6300000000000026,0,1
143,1,2.840540790813964,0.19,0.0,3.91,3.91,0.0,1,23.49,23.299999999999997,0,0
301,1,1.1676446617766911,29.82,34.69,46.83,12.14,4.869999999999997,0,36.11,6.289999999999999,1,1
305,1,1.2324441240086519,56.41,0.0,14.3,14.3,42.11,0,45.09,11.319999999999993,0,1
306,1,1.2144014255629354,32.53,22.8,28.07,5.27,4.460000000000001,0,32.66,0.12999999999999545,0,1
311,1,5.319282982074552,0.0,0.0,0.0,0.0,0.0,1,73.64,73.64,0,0
313,1,2.1548576293633523,27.06,43.12,50.46,7.340000000000003,16.06,0,21.78,5.279999999999998,0,1
