subject,ok,price_ratio50,true_spend,af_min,af_max,af_width,dist_to_band,covered,nar_spend,nar_abs_err,nar_in_band,outside
108,1,4.60375009725356,36.86,0.0,3.06,3.06,33.8,0,37.38,0.5200000000000031,0,1
109,1,2.549231821857312,21.06,20.96,20.96,0.0,0.09999999999999787,0,21.07,0.010000000000001563,0,1
110,1,6.503486202494353,49.31,16.52,17.66,1.1400000000000006,31.650000000000002,0,31.17,18.14,0,1
111,1,1.8390916463909162,25.4,29.58,41.84,12.260000000000005,4.18,0,39.96,14.560000000000002,1,1
112,1,1.8930621776783108,38.91,14.77,18.83,4.059999999999999,20.08,0,34.7,4.209999999999994,0,1
117,1,2.0466015840854666,39.33,3.01,33.05,30.04,6.280000000000001,0,33.92,5.409999999999997,0,1
121,1,2.5793445878848065,90.94,58.66,75.5,16.840000000000003,15.439999999999998,0,22.22,68.72,0,1
124,1,1.080326107564937,33.6,34.83,34.83,0.0,1.2299999999999969,0,34.68,1.0799999999999983,0,1
127,1,4.237998611630267,33.33,0.0,0.0,0.0,33.33,0,26.87,6.459999999999997,0,1
128,1,1.2291626000390397,29.3,19.91,43.56,23.650000000000002,0.0,1,23.46,5.84,1,0
129,1,7.968127490039841,9.74,81.9,84.68,2.780000000000001,72.16000000000001,0,9.84,0.09999999999999964,0,1
130,1,3.823414710241011,52.8,9.9,13.15,3.25,39.65,0,20.6,32.199999999999996,0,1
140,1,2.9273868942199326,28.82,19.19,19.37,0.17999999999999972,9.45,0,30.27,1.4499999999999993,0,1
143,1,2.840540790813964,0.0,0.13,3.23,3.1,0.13,0,57.69,57.69,0,1
301,1,1.1676446617766911,35.1,33.53,42.92,9.39,0.0,1,42.24,7.140000000000001,1,0
305,1,1.2324441240086519,4.16,35.66,41.56,5.900000000000006,31.499999999999996,0,28.93,24.77,0,1
306,1,1.2144014255629354,35.38,25.88,34.46,8.580000000000002,0.9200000000000017,0,37.16,1.779999999999994,0,1
311,1,5.319282982074552,100.0,10.75,10.75,0.0,89.25,0,6.72,93.28,0,1
313,1,2.1548576293633523,42.63,21.48,25.85,4.370000000000001,16.78,0,35.77,6.859999999999999,0,1
314,1,1.8479428679769954,27.93,7.91,7.91,0.0,20.02,0,35.01,7.079999999999998,0,1
