subject,ratio50,L1_baseline,L1_rule_based,L1_afriat_slack,top1_baseline,top1_rule_based,top1_afriat_slack,max_true,max_af,max_rb,max_base,delta
108,4.60375009725356,7.819999999999993,1.1799999999999964,138.51999999999998,1,1,0,50.89,80.83,51.48,54.8,28.737978163411512
109,2.549231821857312,1.0799999999999956,1.0799999999999992,0.7599999999999947,1,1,1,54.1,54.3,54.1,54.16,0.9188895918714157
110,6.503486202494353,52.13999999999999,51.660000000000004,117.66000000000001,0,0,0,49.31,75.63,59.6,59.84,8.386601957254111
111,1.8390916463909162,34.220000000000006,20.860000000000003,62.18000000000001,0,0,0,43.64,43.85,33.33,42.51,2.0728908186841862e-06
112,1.8930621776783108,42.379999999999995,29.22,51.32,0,1,1,42.14,47.96,33.33,39.91,1.019371108095462e-05
117,2.0466015840854666,32.98,25.02,80.1,0,0,0,39.33,70.67,37.46,46.24,5.429549829207559e-06
121,2.5793445878848065,138.77999999999997,83.03999999999999,12.180000000000003,0,1,1,90.94,90.27,49.75,48.33,9.816972207010464
124,1.080326107564937,7.519999999999999,1.9600000000000068,34.66,1,1,0,34.7,44.84,34.36,38.46,1.2318820558153671
127,4.237998611630267,96.13999999999999,26.32,100.0,0,1,1,50.0,100.0,62.36,63.94,2.629312113809511e-06
128,1.2291626000390397,12.379999999999999,29.779999999999998,6.1799999999999935,0,0,0,35.89,37.61,41.5,38.17,2.905635681215677
129,7.968127490039841,1.4600000000000022,1.3399999999999999,165.88,1,1,0,76.8,92.68,76.8,77.25,0.11690097608599627
130,3.823414710241011,108.96,67.63999999999999,60.96000000000001,0,0,0,52.8,37.64,33.82,54.48,4.179103621897482e-06
140,2.9273868942199326,2.860000000000006,41.099999999999994,2.2199999999999984,1,0,1,53.09,52.2,41.18,52.23,0.0
143,2.840540790813964,155.74,9.720000000000004,0.2599999999999869,0,1,1,99.68,99.71,94.92,49.6,0.0
301,1.1676446617766911,14.920000000000002,0.5200000000000021,30.559999999999995,1,0,1,35.1,41.76,35.1,38.28,16.060908780493055
305,1.2324441240086519,45.83999999999999,69.08000000000001,99.23999999999998,1,0,0,56.41,33.52,38.7,42.38,1.6040696872926e-05
306,1.2144014255629354,3.5000000000000036,3.0600000000000085,27.560000000000002,1,1,0,35.38,45.63,35.08,37.13,1.016350317670886
311,5.319282982074552,178.24,0.0,0.0,0,1,1,100.0,100.0,100.0,74.93,8.823497495140657
313,2.1548576293633523,25.380000000000006,17.560000000000006,26.820000000000004,0,0,0,42.63,37.43,35.76,42.53,5.884891550391927e-06
314,1.8479428679769954,21.439999999999998,140.82000000000002,125.77999999999999,1,0,0,42.4,92.32,99.84,51.44,0.5065751663848905
317,2.521714922048998,70.3,43.8,134.39999999999998,0,0,1,52.73,21.04,33.33,56.43,1.0010813576045916
320,1.5607934997437962,18.040000000000003,11.040000000000008,15.319999999999999,0,0,0,33.61,39.86,38.59,40.87,1.1774392220809176e-06
322,7.7592769618493085,8.859999999999992,8.200000000000006,177.38,1,1,0,75.89,25.76,72.32,80.32,6.412582303505675e-06
325,3.460456811249163,4.859999999999993,8.339999999999996,9.819999999999997,1,1,1,51.16,47.39,47.44,49.2,1.9270671468382068
326,6.43317572131622,76.08,83.53999999999999,116.86,0,0,0,33.73,90.76,74.1,71.37,5.115650134076293e-07
331,1.2744631844862173,7.099999999999997,10.239999999999997,22.679999999999993,0,0,0,34.58,34.41,37.15,36.65,0.09694900579174465
332,1.612737271598368,9.6,13.280000000000001,23.679999999999996,1,1,1,48.91,40.1,42.36,46.12,3.5747605473767745
333,1.5547112462006079,77.44,3.3400000000000025,4.620000000000001,0,1,1,54.72,57.03,53.44,39.42,6.409393430610536
334,4.4135352946888045,180.44,108.74,3.5000000000000004,0,1,1,98.25,100.0,44.18,50.34,13.957664509593023
337,1.2951173708920187,22.580000000000005,22.940000000000005,24.6,1,1,1,50.21,38.21,38.9,39.08,8.050426006492367
339,2.7282113821138214,49.779999999999994,0.7400000000000014,13.02,1,0,0,33.56,39.46,33.33,58.45,3.594654355485206
