subject,ratio50,L1_baseline,L1_rule_based,top1_baseline,top1_rule_based,max_true,max_base,max_rb
108,4.60375009725356,7.819999999999993,1.1799999999999964,1,1,50.89,54.8,51.48
109,2.549231821857312,1.0799999999999956,1.0799999999999992,1,1,54.1,54.16,54.1
110,6.503486202494353,52.13999999999999,51.660000000000004,0,0,49.31,59.84,59.6
111,1.8390916463909162,34.220000000000006,20.860000000000003,0,0,43.64,42.51,33.33
112,1.8930621776783108,42.379999999999995,29.22,0,1,42.14,39.91,33.33
117,2.0466015840854666,32.98,25.02,0,0,39.33,46.24,37.46
121,2.5793445878848065,138.77999999999997,83.03999999999999,0,1,90.94,48.33,49.75
124,1.080326107564937,7.519999999999999,1.9600000000000068,1,1,34.7,38.46,34.36
127,4.237998611630267,96.13999999999999,26.32,0,1,50.0,63.94,62.36
128,1.2291626000390397,12.379999999999999,29.779999999999998,0,0,35.89,38.17,41.5
129,7.968127490039841,1.4600000000000022,1.3399999999999999,1,1,76.8,77.25,76.8
130,3.823414710241011,108.96,67.63999999999999,0,0,52.8,54.48,33.82
140,2.9273868942199326,2.860000000000006,41.099999999999994,1,0,53.09,52.23,41.18
143,2.840540790813964,155.74,9.720000000000004,0,1,99.68,49.6,94.92
301,1.1676446617766911,14.920000000000002,0.5200000000000021,1,0,35.1,38.28,35.1
305,1.2324441240086519,45.83999999999999,69.08000000000001,1,0,56.41,42.38,38.7
306,1.2144014255629354,3.5000000000000036,3.0600000000000085,1,1,35.38,37.13,35.08
311,5.319282982074552,178.24,0.0,0,1,100.0,74.93,100.0
313,2.1548576293633523,25.380000000000006,17.560000000000006,0,0,42.63,42.53,35.76
314,1.8479428679769954,21.439999999999998,140.82000000000002,1,0,42.4,51.44,99.84
317,2.521714922048998,70.3,43.8,0,0,52.73,56.43,33.33
320,1.5607934997437962,18.040000000000003,11.040000000000008,0,0,33.61,40.87,38.59
322,7.7592769618493085,8.859999999999992,8.200000000000006,1,1,75.89,80.32,72.32
325,3.460456811249163,4.859999999999993,8.339999999999996,1,1,51.16,49.2,47.44
326,6.43317572131622,76.08,83.53999999999999,0,0,33.73,71.37,74.1
331,1.2744631844862173,7.099999999999997,10.239999999999997,0,0,34.58,36.65,37.15
332,1.612737271598368,9.6,13.280000000000001,1,1,48.91,46.12,42.36
333,1.5547112462006079,77.44,3.3400000000000025,0,1,54.72,39.42,53.44
334,4.4135352946888045,180.44,108.74,0,1,98.25,50.34,44.18
337,1.2951173708920187,22.580000000000005,22.940000000000005,1,1,50.21,39.08,38.9
339,2.7282113821138214,49.779999999999994,0.7400000000000014,1,0,33.56,58.45,33.33
340,1.922240885288015,3.2199999999999998,4.280000000000002,1,1,39.3,40.91,41.44
341,3.114736012608353,16.38,17.38,1,1,46.25,53.37,54.94
342,2.031032794909447,9.560000000000004,0.4200000000000009,1,1,42.95,40.08,42.95
402,2.8156326331216412,70.78,13.300000000000011,0,0,42.52,55.56,43.7
405,1.6326197561678026,74.42,61.98,0,0,58.75,43.89,43.22
407,3.0769113847089224,21.539999999999996,21.520000000000003,1,1,46.56,54.76,36.03
408,1.6047031547569761,6.219999999999999,10.620000000000001,1,1,52.66,49.89,57.97
409,1.3859147129407423,4.339999999999996,9.959999999999999,1,0,38.14,39.75,33.33
410,8.807731061646972,158.76,1.2000000000000008,0,1,53.41,79.38,54.01
413,1.1365505156028846,19.720000000000002,34.12,0,0,35.92,39.83,47.03
417,7.970536145548221,38.56,7.039999999999993,1,1,50.5,69.78,47.52
418,1.5925892777230826,5.900000000000006,3.8000000000000007,1,1,39.68,40.02,38.97
422,6.6963782891542865,121.33999999999999,49.5,0,0,53.55,60.67,59.21
423,1.0632700274385323,12.700000000000003,17.400000000000006,1,1,36.86,38.6,45.56
424,9.699000999001,178.6,131.12,0,0,98.8,78.15,33.33
426,2.155830828996555,66.76000000000002,34.64000000000001,0,1,68.76,36.36,58.39
