subject_id,prompt_file,answer_file,p50_px,p50_py,p50_pz,gt_spend_papaya,gt_spend_axolotl,gt_spend_quipu,gt_cash
108,narrative_prompt_subject108.txt,narrative_answer_subject108.txt,5.917159763,1.285347044,4.237288136,50.89,11.57,36.86,0.68
109,narrative_prompt_subject109.txt,narrative_answer_subject109.txt,1.85528757,4.098360656,1.607717042,24.3,54.1,21.06,0.54
110,narrative_prompt_subject110.txt,narrative_answer_subject110.txt,1.018329939,6.622516556,3.448275862,16.8,33.77,49.31,0.12
111,narrative_prompt_subject111.txt,narrative_answer_subject111.txt,1.233045623,1.298701299,2.267573696,30.83,43.64,25.4,0.13
112,narrative_prompt_subject112.txt,narrative_answer_subject112.txt,1.027749229,1.642036125,1.945525292,42.14,18.72,38.91,0.23
117,narrative_prompt_subject117.txt,narrative_answer_subject117.txt,1.08577633,1.956947162,2.222222222,30.62,29.75,39.33,0.3
121,narrative_prompt_subject121.txt,narrative_answer_subject121.txt,1.795332136,2.597402597,1.007049345,5.03,3.64,90.94,0.39
124,narrative_prompt_subject124.txt,narrative_answer_subject124.txt,1.582278481,1.709401709,1.584786054,31.65,34.7,33.6,0.05
127,narrative_prompt_subject127.txt,narrative_answer_subject127.txt,1.872659176,7.936507937,4.016064257,50.0,15.87,33.33,0.8
128,narrative_prompt_subject128.txt,narrative_answer_subject128.txt,1.259445844,1.223990208,1.024590164,35.89,34.52,29.3,0.29
129,narrative_prompt_subject129.txt,narrative_answer_subject129.txt,1.326259947,8.0,1.004016064,12.73,76.8,9.74,0.73
130,narrative_prompt_subject130.txt,narrative_answer_subject130.txt,1.282051282,4.901960784,1.300390117,46.67,0.0,52.8,0.53
140,narrative_prompt_subject140.txt,narrative_answer_subject140.txt,1.242236025,3.636363636,1.960784314,17.52,53.09,28.82,0.57
143,narrative_prompt_subject143.txt,narrative_answer_subject143.txt,1.079913607,1.908396947,3.067484663,99.68,0.19,0.0,0.13
301,narrative_prompt_subject301.txt,narrative_answer_subject301.txt,1.432664756,1.226993865,1.432664756,34.96,29.82,35.1,0.12
305,narrative_prompt_subject305.txt,narrative_answer_subject305.txt,1.477104874,1.709401709,1.386962552,39.29,56.41,4.16,0.14
306,narrative_prompt_subject306.txt,narrative_answer_subject306.txt,1.234567901,1.275510204,1.499250375,31.85,32.53,35.38,0.24
311,narrative_prompt_subject311.txt,narrative_answer_subject311.txt,1.538461538,7.092198582,1.333333333,0.0,0.0,100.0,0.0
313,narrative_prompt_subject313.txt,narrative_answer_subject313.txt,2.277904328,1.057082452,1.992031873,29.84,27.06,42.63,0.47
314,narrative_prompt_subject314.txt,narrative_answer_subject314.txt,1.582278481,2.923976608,1.801801802,29.43,42.4,27.93,0.24
317,narrative_prompt_subject317.txt,narrative_answer_subject317.txt,3.623188406,1.436781609,2.197802198,35.51,52.73,11.43,0.33
320,narrative_prompt_subject320.txt,narrative_answer_subject320.txt,1.897533207,2.132196162,1.366120219,32.83,33.26,33.61,0.3
322,narrative_prompt_subject322.txt,narrative_answer_subject322.txt,1.524390244,8.928571429,1.150747986,12.8,75.89,10.7,0.61
325,narrative_prompt_subject325.txt,narrative_answer_subject325.txt,1.344086022,3.236245955,4.651162791,12.77,35.6,51.16,0.47
326,narrative_prompt_subject326.txt,narrative_answer_subject326.txt,6.666666667,1.03626943,1.492537313,33.33,32.33,33.73,0.61
331,narrative_prompt_subject331.txt,narrative_answer_subject331.txt,1.715265866,1.34589502,1.557632399,33.1,32.03,34.58,0.29
332,narrative_prompt_subject332.txt,narrative_answer_subject332.txt,1.127395716,1.818181818,1.300390117,22.77,48.91,28.22,0.1
333,narrative_prompt_subject333.txt,narrative_answer_subject333.txt,1.118568233,1.275510204,1.739130435,44.3,54.72,0.7,0.28
334,narrative_prompt_subject334.txt,narrative_answer_subject334.txt,1.029866117,4.06504065,4.545454545,98.25,0.0,1.36,0.39
337,narrative_prompt_subject337.txt,narrative_answer_subject337.txt,1.094091904,1.379310345,1.064962726,24.18,50.21,25.45,0.16
339,narrative_prompt_subject339.txt,narrative_answer_subject339.txt,1.239157373,1.2300123,3.355704698,33.33,32.96,33.56,0.15
340,narrative_prompt_subject340.txt,narrative_answer_subject340.txt,1.012145749,1.945525292,1.109877913,28.54,39.3,31.96,0.2
341,narrative_prompt_subject341.txt,narrative_answer_subject341.txt,1.269035533,1.945525292,3.95256917,26.14,27.24,46.25,0.37
342,narrative_prompt_subject342.txt,narrative_answer_subject342.txt,2.074688797,1.02145046,1.727115717,42.95,21.04,35.75,0.26
